uri,ecartico
http://data.bibliotheken.nl/id/thes/p070337020,https://www.vondel.humanities.uva.nl/ecartico/persons/1293
https://id.rijksmuseum.nl/31013711,https://www.vondel.humanities.uva.nl/ecartico/persons/1293
http://data.bibliotheken.nl/id/thes/p290701163,https://www.vondel.humanities.uva.nl/ecartico/persons/4345
https://id.rijksmuseum.nl/31061310,https://www.vondel.humanities.uva.nl/ecartico/persons/4345
http://data.bibliotheken.nl/id/thes/p305538284,https://www.vondel.humanities.uva.nl/ecartico/persons/8189
https://id.rijksmuseum.nl/310121270,https://www.vondel.humanities.uva.nl/ecartico/persons/8189
http://data.bibliotheken.nl/id/thes/p071426000,https://www.vondel.humanities.uva.nl/ecartico/persons/8103
http://data.bibliotheken.nl/id/thes/p069944490,https://www.vondel.humanities.uva.nl/ecartico/persons/8105
https://id.rijksmuseum.nl/310119744,https://www.vondel.humanities.uva.nl/ecartico/persons/8105
https://id.rijksmuseum.nl/310118528,https://www.vondel.humanities.uva.nl/ecartico/persons/7866
http://data.bibliotheken.nl/id/thes/p072218673,https://www.vondel.humanities.uva.nl/ecartico/persons/7866
http://data.bibliotheken.nl/id/thes/p165750316,https://www.vondel.humanities.uva.nl/ecartico/persons/5483
https://id.rijksmuseum.nl/31079233,https://www.vondel.humanities.uva.nl/ecartico/persons/5483
https://id.rijksmuseum.nl/31034916,https://www.vondel.humanities.uva.nl/ecartico/persons/2873
http://data.bibliotheken.nl/id/thes/p069781249,https://www.vondel.humanities.uva.nl/ecartico/persons/2873
https://id.rijksmuseum.nl/310100841,https://www.vondel.humanities.uva.nl/ecartico/persons/6575
http://data.bibliotheken.nl/id/thes/p069082316,https://www.vondel.humanities.uva.nl/ecartico/persons/8429
https://id.rijksmuseum.nl/310124745,https://www.vondel.humanities.uva.nl/ecartico/persons/8429
http://data.bibliotheken.nl/id/thes/p313877491,https://www.vondel.humanities.uva.nl/ecartico/persons/11097
http://data.bibliotheken.nl/id/thes/p301826072,https://www.vondel.humanities.uva.nl/ecartico/persons/7561
https://id.rijksmuseum.nl/310116121,https://www.vondel.humanities.uva.nl/ecartico/persons/7561
https://id.rijksmuseum.nl/310104699,https://www.vondel.humanities.uva.nl/ecartico/persons/6793
https://id.rijksmuseum.nl/310104700,https://www.vondel.humanities.uva.nl/ecartico/persons/6794
http://data.bibliotheken.nl/id/thes/p069797129,https://www.vondel.humanities.uva.nl/ecartico/persons/6794
