Community 1 - Period: (1702 - 1800 - Number of books: 123
Name;URI;Begin;End
Spelen van sinne vvaer inne alle oirboirlijcke ende eerlijcke handvverckenghepresen ende verhaelt vvorden [...]. Ghespeelt [...] binnen der stadt van Antwerpen [...] den vierentwintichsten dach augusti int iaer ons Heeren 1561. Op die questie: vvelck handtvverck, oirboilijcste is van doene, en eerlijcste, nochtans seer cleyn gheacht?;http://data.bibliotheken.nl/id/nbt/p380113112;1562;1562
De eerste 12. boecken, vande Ilyadas.;http://data.bibliotheken.nl/id/nbt/p823042820;1611;1611
Variarvm imaginvm a celeberrimis artificibus pictarvm cælatvræ elegantissimis tabvlis repræsentatæ;http://data.bibliotheken.nl/id/nbt/p842424741;1660;1671
De cleyn vverelt.;http://data.bibliotheken.nl/id/nbt/p842880380;1608;1608
'sWerelts begin, midden, eynde, besloten in den trov-ringh, met den proef-steen van den selven.;http://data.bibliotheken.nl/id/nbt/p831773278;1637;1637
Zeevsche nachtegael, ende des selfs driederley ghesang;http://data.bibliotheken.nl/id/nbt/p84332306X;1633;1633
Community 3 - Period: (1676 - 1756 - Number of books: 49
Name;URI;Begin;End
Het leven van zyne hoogheit Johan Willem Friso.;http://data.bibliotheken.nl/id/nbt/p182923355;1716;1716
Signorvm vetervm icones.;http://data.bibliotheken.nl/id/nbt/p036532932;1660;1669
"Omstandigh vervolgh op Joh. Lodew. Gottfrieds Historische kronyck; of Algemeene historische gedenk-boeken der voornaemste uytgeleesenste weereldlycke en kercklyke geschiedenissen.";http://data.bibliotheken.nl/id/nbt/p262635216;1698;1698
"Admirandorum quadruplex spectaculum; delectum, pictum, et æri incisum.";http://data.bibliotheken.nl/id/nbt/p840916698;1700;1799
Afbeelding der hertstogten, of Middelen om dezelve volkomen te leeren afteekenen.;http://data.bibliotheken.nl/id/nbt/p262004798;1728;1728
